Type of organization,Type of breach,Count
BSF,CARD,24
BSF,DISC,112
BSF,HACK,150
BSF,INSD,97
BSF,PHYS,58
BSF,PORT,158
BSF,STAT,27
BSF,UNKN,37
BSO,CARD,5
BSO,DISC,93
BSO,HACK,461
BSO,INSD,62
BSO,PHYS,57
BSO,PORT,135
BSO,STAT,22
BSO,UNKN,18
BSR,CARD,35
BSR,DISC,50
BSR,HACK,259
BSR,INSD,71
BSR,PHYS,37
BSR,PORT,66
BSR,STAT,16
BSR,UNKN,18
EDU,CARD,1
EDU,DISC,226
EDU,HACK,274
EDU,INSD,25
EDU,PHYS,56
EDU,PORT,137
EDU,STAT,48
EDU,UNKN,16
GOV,DISC,211
GOV,HACK,132
GOV,INSD,79
GOV,PHYS,103
GOV,PORT,170
GOV,STAT,24
GOV,UNKN,24
MED,CARD,1
MED,DISC,261
MED,HACK,227
MED,INSD,223
MED,PHYS,262
MED,PORT,462
MED,STAT,107
MED,UNKN,34
NGO,DISC,11
NGO,HACK,34
NGO,INSD,9
NGO,PHYS,10
NGO,PORT,37
NGO,STAT,5
NGO,UNKN,3
